road_segment,road_category,day_of_week,hour_of_day,current_speed,avg_speed_last_15min,avg_speed_last_30min,weather_condition,is_peak_hour,future_speedband
Seletar Expressway,Y,1,11,69.9,74.2,68.9,Haze,0,8
Tampines Avenue 10,B,4,20,21.9,25.3,28.6,Rain,1,2
Ayer Rajah Expressway,Y,2,1,75.8,77.4,73.1,Clear,0,8
Woodlands Avenue 12,B,6,5,35.5,38.4,33.4,Rain,0,4
Upper Thomson Road,B,5,14,25.9,21.0,21.0,Thunderstorm,0,3
Woodlands Avenue 12,B,4,3,42.8,40.5,39.9,Clouds,0,5
Orchard Road,B,2,20,22.2,21.7,33.0,Haze,1,2
Clementi Avenue 3,C,1,0,33.4,34.8,37.6,Mist,0,4
Tampines Expressway,Y,3,20,49.5,47.5,53.7,Mist,1,6
Seletar Expressway,Y,1,1,65.3,66.8,64.2,Haze,0,7
Bedok North Avenue 3,C,6,8,34.8,33.7,36.5,Drizzle,0,4
Bukit Timah Expressway,Y,0,14,61.6,60.7,53.6,Drizzle,0,6
Upper Thomson Road,B,5,11,34.7,36.6,37.6,Rain,0,4
Tampines Avenue 10,B,3,10,37.2,40.4,46.1,Mist,0,4
Bukit Timah Expressway,Y,0,12,75.0,75.8,80.0,Clear,0,8
Tampines Avenue 10,B,1,19,31.6,37.5,35.8,Clouds,1,4
Orchard Road,B,0,10,21.4,22.6,17.0,Thunderstorm,0,3
Clementi Avenue 3,C,0,5,35.3,36.0,40.3,Clouds,0,4
Ayer Rajah Expressway,Y,5,19,60.3,62.1,58.1,Drizzle,0,6
Kallang Paya Lebar Expressway,Y,6,8,65.2,64.3,60.8,Mist,0,7
Tampines Avenue 10,B,5,20,21.2,16.4,30.0,Thunderstorm,0,3
Pan Island Expressway,Y,3,4,75.6,78.1,78.9,Clouds,0,8
Nicoll Highway,B,0,7,30.3,31.3,29.0,Clear,1,3
Tampines Expressway,Y,5,3,57.8,55.5,56.8,Rain,0,6
Tampines Expressway,Y,3,0,75.1,74.7,72.9,Haze,0,8
Kallang Paya Lebar Expressway,Y,2,6,42.6,43.1,38.1,Thunderstorm,0,4
Woodlands Avenue 12,B,6,20,45.0,45.4,42.8,Clouds,0,5
Tampines Expressway,Y,0,2,68.3,69.3,66.0,Mist,0,7
Woodlands Avenue 12,B,3,20,24.3,29.9,33.2,Haze,1,3
Seletar Expressway,Y,6,21,62.9,64.5,67.9,Mist,0,7
East Coast Parkway,Y,5,19,34.2,33.2,35.0,Thunderstorm,0,4
Nicoll Highway,B,1,13,30.5,30.5,25.0,Thunderstorm,0,3
Orchard Road,B,6,7,30.6,31.2,29.3,Rain,0,3
Ayer Rajah Expressway,Y,3,7,25.2,26.3,37.2,Rain,1,4
Bedok North Avenue 3,C,4,19,9.8,3.3,11.4,Thunderstorm,1,1
Central Expressway,Y,1,11,44.1,41.0,51.8,Thunderstorm,0,4
Upper Thomson Road,B,3,0,39.9,36.1,37.7,Haze,0,5
Central Expressway,Y,1,3,48.3,50.4,50.0,Rain,0,5
Central Expressway,Y,2,18,46.3,44.7,43.5,Drizzle,1,5
Clementi Avenue 3,C,0,18,26.2,29.1,28.8,Clouds,1,3
Ayer Rajah Expressway,Y,1,22,72.5,75.4,83.6,Clear,0,7
Bedok North Avenue 3,C,3,14,36.2,36.0,35.5,Clouds,0,4
Ayer Rajah Expressway,Y,2,12,63.5,59.1,67.5,Drizzle,0,7
Tampines Avenue 10,B,4,9,4.5,5.3,7.0,Thunderstorm,1,1
East Coast Parkway,Y,2,11,77.5,81.3,83.2,Clouds,0,8
Woodlands Avenue 12,B,4,5,35.6,33.8,32.5,Mist,0,4
Nicoll Highway,B,6,22,51.0,47.5,58.9,Mist,0,6
Woodlands Avenue 12,B,2,15,20.8,20.9,12.8,Thunderstorm,0,3
Pan Island Expressway,Y,2,6,39.9,39.9,39.8,Thunderstorm,0,5
Bukit Timah Expressway,Y,4,16,38.1,41.1,39.7,Thunderstorm,0,4
Kallang Paya Lebar Expressway,Y,5,21,39.1,41.4,43.2,Thunderstorm,0,5
Seletar Expressway,Y,0,6,63.4,60.4,65.1,Mist,0,7
Pan Island Expressway,Y,6,7,63.5,62.4,67.6,Mist,0,7
Bukit Timah Expressway,Y,1,4,35.7,36.8,48.5,Thunderstorm,0,4
Bukit Timah Expressway,Y,3,0,68.3,65.2,63.2,Clouds,0,7
Pan Island Expressway,Y,1,16,77.2,75.8,85.9,Clear,0,8
Bedok North Avenue 3,C,5,2,33.7,36.7,35.4,Mist,0,4
Woodlands Avenue 12,B,3,9,23.4,22.7,25.2,Mist,1,3
Bukit Timah Expressway,Y,5,4,75.0,73.5,83.9,Clear,0,8
Upper Thomson Road,B,3,9,6.9,9.8,2.5,Thunderstorm,1,1
Kallang Paya Lebar Expressway,Y,2,9,42.4,39.2,36.3,Mist,1,4
Tampines Expressway,Y,3,7,24.2,23.1,21.5,Thunderstorm,1,3
Woodlands Avenue 12,B,3,20,22.9,19.2,22.6,Clouds,1,3
Orchard Road,B,0,21,38.7,37.4,36.7,Clouds,0,4
Bukit Timah Expressway,Y,0,10,65.4,66.3,61.5,Haze,0,7
Ayer Rajah Expressway,Y,0,2,64.5,63.5,61.4,Mist,0,7
Tampines Avenue 10,B,6,16,31.9,33.7,35.8,Rain,0,3
Bukit Timah Expressway,Y,0,21,65.4,68.2,70.2,Drizzle,0,7
Clementi Avenue 3,C,1,8,22.7,23.9,25.1,Clear,1,2
Clementi Avenue 3,C,0,5,17.4,22.1,17.8,Thunderstorm,0,3
Nicoll Highway,B,2,5,37.1,38.6,36.0,Rain,0,4
Ayer Rajah Expressway,Y,0,3,62.9,57.0,59.0,Drizzle,0,6
Tampines Expressway,Y,0,22,80.0,84.4,80.7,Clouds,0,8
Tampines Avenue 10,B,1,7,33.1,31.4,34.1,Mist,1,4
Tampines Avenue 10,B,0,21,36.2,34.9,39.5,Drizzle,0,5
Clementi Avenue 3,C,4,5,33.6,30.9,40.0,Mist,0,4
Woodlands Avenue 12,B,0,16,45.0,44.5,38.2,Haze,0,5
Seletar Expressway,Y,2,7,46.4,51.0,38.7,Clouds,1,5
Bukit Timah Expressway,Y,4,8,41.1,42.3,44.1,Drizzle,1,4
East Coast Parkway,Y,4,21,77.3,73.7,78.3,Clear,0,8
Orchard Road,B,1,12,39.8,45.7,43.6,Haze,0,5
Tampines Expressway,Y,0,14,75.0,78.6,62.3,Clouds,0,8
East Coast Parkway,Y,2,16,79.1,82.1,81.3,Haze,0,8
Ayer Rajah Expressway,Y,3,8,42.6,40.6,38.2,Drizzle,1,5
Woodlands Avenue 12,B,2,22,37.6,34.2,44.5,Mist,0,5
Bedok North Avenue 3,C,4,3,29.8,26.5,29.9,Drizzle,0,4
Orchard Road,B,4,10,23.6,25.8,25.4,Thunderstorm,0,3
Kallang Paya Lebar Expressway,Y,1,22,57.6,58.4,55.4,Drizzle,0,6
Tampines Avenue 10,B,0,14,43.8,42.3,41.1,Clear,0,4
Tampines Avenue 10,B,2,13,44.5,46.8,44.3,Clouds,0,5
Nicoll Highway,B,6,16,27.4,30.2,33.4,Thunderstorm,0,4
Seletar Expressway,Y,0,14,68.9,73.0,67.7,Haze,0,7
Seletar Expressway,Y,4,6,69.4,69.6,71.4,Clear,0,8
East Coast Parkway,Y,0,13,78.8,73.1,75.9,Clear,0,8
Pan Island Expressway,Y,4,2,38.8,36.9,38.6,Thunderstorm,0,4
Tampines Expressway,Y,4,15,57.2,52.3,59.0,Rain,0,6
Upper Thomson Road,B,5,16,49.2,54.4,50.1,Clouds,0,5
East Coast Parkway,Y,3,3,57.1,62.3,57.1,Rain,0,6
Tampines Avenue 10,B,1,5,48.0,47.4,37.7,Clouds,0,5
Upper Thomson Road,B,4,10,33.2,33.9,34.4,Rain,0,4
Kallang Paya Lebar Expressway,Y,5,18,68.4,66.1,67.5,Haze,0,7
Bukit Timah Expressway,Y,2,8,47.2,47.2,49.3,Drizzle,1,6
Orchard Road,B,5,14,40.2,42.2,46.0,Clouds,0,4
Ayer Rajah Expressway,Y,6,16,66.3,65.3,64.8,Mist,0,7
Kallang Paya Lebar Expressway,Y,1,16,61.4,60.8,59.5,Mist,0,7
Tampines Expressway,Y,1,4,58.4,51.8,64.3,Rain,0,6
Central Expressway,Y,3,0,56.9,54.0,51.0,Drizzle,0,6
East Coast Parkway,Y,4,2,73.3,73.7,73.0,Haze,0,8
Orchard Road,B,2,14,45.0,43.9,51.2,Clear,0,5
Woodlands Avenue 12,B,2,14,40.7,44.4,42.1,Clear,0,5
Upper Thomson Road,B,6,14,23.6,16.3,18.2,Thunderstorm,0,4
Kallang Paya Lebar Expressway,Y,0,20,50.7,48.0,52.1,Clear,1,5
Ayer Rajah Expressway,Y,1,10,64.7,62.4,60.8,Haze,0,8
Bedok North Avenue 3,C,3,2,33.2,32.8,39.0,Haze,0,4
Upper Thomson Road,B,2,12,45.3,47.8,49.0,Clouds,0,5
Orchard Road,B,3,1,38.8,41.9,39.4,Clouds,0,4
Orchard Road,B,6,6,42.3,43.9,49.2,Drizzle,0,5
Bedok North Avenue 3,C,5,2,22.1,28.0,19.4,Thunderstorm,0,3
Orchard Road,B,1,14,39.9,40.4,32.8,Clear,0,5
Seletar Expressway,Y,0,17,37.1,37.6,41.1,Mist,1,4
Central Expressway,Y,0,0,60.0,59.0,65.9,Mist,0,7
Nicoll Highway,B,4,19,30.4,31.1,38.1,Mist,1,3
Bedok North Avenue 3,C,6,2,33.2,32.3,36.8,Haze,0,4
Bukit Timah Expressway,Y,3,12,57.1,52.9,56.8,Drizzle,0,6
Nicoll Highway,B,4,19,37.4,38.1,45.8,Clear,1,4
Ayer Rajah Expressway,Y,5,22,66.5,67.9,59.7,Haze,0,7
Pan Island Expressway,Y,4,7,46.5,44.5,45.6,Drizzle,1,5
Orchard Road,B,4,23,34.1,29.2,28.0,Drizzle,0,3
East Coast Parkway,Y,0,9,43.2,49.1,47.1,Haze,1,5
Central Expressway,Y,2,5,59.2,57.6,57.4,Haze,0,7
Woodlands Avenue 12,B,6,15,37.2,36.2,40.7,Haze,0,5
Tampines Expressway,Y,3,22,52.4,56.1,52.0,Thunderstorm,0,5
Upper Thomson Road,B,1,18,7.5,3.3,2.0,Thunderstorm,1,1
Upper Thomson Road,B,5,20,40.3,38.4,37.6,Drizzle,0,5
Kallang Paya Lebar Expressway,Y,6,22,58.6,60.0,60.6,Drizzle,0,7
Seletar Expressway,Y,6,3,63.4,59.5,67.4,Clouds,0,7
Seletar Expressway,Y,0,19,38.3,38.0,44.4,Haze,1,4
Bedok North Avenue 3,C,1,7,28.3,31.6,29.7,Haze,1,4
Woodlands Avenue 12,B,0,6,18.3,17.9,19.5,Thunderstorm,0,2
Kallang Paya Lebar Expressway,Y,1,13,64.1,65.9,63.3,Mist,0,7
Ayer Rajah Expressway,Y,1,6,47.8,42.9,54.2,Thunderstorm,0,6
Tampines Expressway,Y,2,13,63.9,62.7,61.0,Mist,0,7
Bedok North Avenue 3,C,3,12,25.4,21.9,19.5,Rain,0,3
Woodlands Avenue 12,B,1,16,41.6,44.0,38.8,Clouds,0,5
Nicoll Highway,B,6,5,30.3,28.9,36.8,Rain,0,3
Woodlands Avenue 12,B,2,17,27.9,25.9,27.2,Drizzle,1,3
Nicoll Highway,B,3,5,44.6,46.6,39.7,Mist,0,4
Pan Island Expressway,Y,4,5,60.8,65.2,54.8,Rain,0,7
Tampines Expressway,Y,1,15,70.5,76.5,70.6,Haze,0,7
Seletar Expressway,Y,6,2,68.3,70.2,72.4,Mist,0,7
Pan Island Expressway,Y,0,23,73.6,76.5,74.3,Clear,0,8
East Coast Parkway,Y,0,21,65.0,66.8,73.2,Drizzle,0,7
Bedok North Avenue 3,C,2,21,35.1,35.0,31.2,Haze,0,4
Kallang Paya Lebar Expressway,Y,4,8,30.5,29.0,26.5,Drizzle,1,4
Nicoll Highway,B,1,10,37.1,36.4,43.4,Rain,0,3
Upper Thomson Road,B,6,4,50.0,50.4,46.5,Clear,0,5
Clementi Avenue 3,C,1,15,35.3,34.3,38.3,Clear,0,4
Orchard Road,B,0,9,28.2,23.0,24.8,Drizzle,1,4
Pan Island Expressway,Y,3,14,65.2,69.0,66.8,Drizzle,0,7
Ayer Rajah Expressway,Y,6,18,45.6,42.0,37.3,Rain,0,5
Ayer Rajah Expressway,Y,3,7,30.1,27.4,34.5,Mist,1,3
Central Expressway,Y,5,9,56.3,55.4,59.6,Drizzle,0,6
Bedok North Avenue 3,C,0,20,9.6,8.1,13.7,Thunderstorm,1,1
Tampines Avenue 10,B,5,17,39.6,43.0,45.9,Haze,0,5
Bukit Timah Expressway,Y,6,9,69.9,70.1,69.1,Clear,0,7
Tampines Avenue 10,B,4,4,43.1,40.8,38.8,Haze,0,4
Tampines Avenue 10,B,3,6,42.8,44.3,47.9,Mist,0,5
Bedok North Avenue 3,C,0,16,29.0,30.6,21.6,Mist,0,3
Bedok North Avenue 3,C,6,0,36.1,33.2,38.7,Clear,0,4
Upper Thomson Road,B,6,23,44.7,47.8,44.4,Clear,0,4
Orchard Road,B,3,5,39.1,34.8,36.7,Drizzle,0,4
Seletar Expressway,Y,5,15,67.3,63.7,67.4,Drizzle,0,8
Tampines Avenue 10,B,5,15,26.5,27.9,26.0,Thunderstorm,0,3
Ayer Rajah Expressway,Y,3,10,69.9,74.3,72.4,Mist,0,7
Woodlands Avenue 12,B,4,4,44.6,40.7,38.2,Mist,0,4
Woodlands Avenue 12,B,0,13,39.7,40.3,43.6,Haze,0,5
Woodlands Avenue 12,B,3,9,22.6,26.8,28.7,Clear,1,3
Bukit Timah Expressway,Y,4,14,75.0,78.3,75.6,Clear,0,8
Central Expressway,Y,3,22,73.3,75.2,82.1,Clear,0,7
East Coast Parkway,Y,0,1,69.3,69.9,64.1,Haze,0,7
Ayer Rajah Expressway,Y,2,23,69.5,75.4,64.7,Clear,0,7
Tampines Expressway,Y,2,1,54.2,54.9,53.6,Rain,0,6
Tampines Avenue 10,B,5,3,35.5,38.8,41.6,Drizzle,0,5
Central Expressway,Y,4,21,55.0,57.2,56.2,Drizzle,0,6
Seletar Expressway,Y,4,21,53.7,53.3,49.8,Mist,0,6
Clementi Avenue 3,C,1,15,34.9,31.7,31.6,Mist,0,4
East Coast Parkway,Y,0,2,77.9,79.2,83.0,Clouds,0,8
Nicoll Highway,B,2,21,50.2,53.5,54.7,Clear,0,5
Seletar Expressway,Y,2,0,39.9,41.8,41.3,Thunderstorm,0,5
Upper Thomson Road,B,0,21,45.4,42.1,44.9,Clouds,0,5
Orchard Road,B,6,7,39.2,40.0,38.1,Clouds,0,4
Kallang Paya Lebar Expressway,Y,0,6,63.2,64.3,64.3,Drizzle,0,7
Orchard Road,B,2,7,28.4,23.4,37.2,Clouds,1,2
Central Expressway,Y,4,8,30.8,35.2,34.4,Rain,1,3
Pan Island Expressway,Y,6,23,55.2,56.1,48.7,Rain,0,6
Woodlands Avenue 12,B,6,19,40.7,42.6,42.7,Clouds,0,5
Ayer Rajah Expressway,Y,1,3,54.6,55.5,51.8,Rain,0,5
Tampines Expressway,Y,4,10,48.6,53.4,45.9,Thunderstorm,0,6
Bukit Timah Expressway,Y,5,7,70.9,71.0,66.4,Clear,0,8
Clementi Avenue 3,C,2,4,33.1,35.3,33.0,Haze,0,4
Tampines Avenue 10,B,1,5,39.0,40.0,47.1,Haze,0,4
Kallang Paya Lebar Expressway,Y,2,18,40.6,38.5,32.6,Clouds,1,5
Tampines Avenue 10,B,1,21,42.7,41.9,44.9,Haze,0,4
Tampines Avenue 10,B,1,16,38.3,38.4,36.1,Mist,0,4
Ayer Rajah Expressway,Y,5,12,72.1,70.0,76.2,Haze,0,8
Central Expressway,Y,2,13,70.2,64.6,76.7,Mist,0,8
Kallang Paya Lebar Expressway,Y,3,11,63.8,65.9,64.0,Drizzle,0,7
Bukit Timah Expressway,Y,0,23,68.0,67.7,79.3,Mist,0,8
Bedok North Avenue 3,C,6,6,28.6,29.8,27.8,Mist,0,3
Tampines Avenue 10,B,3,2,41.2,34.0,38.3,Mist,0,5
Kallang Paya Lebar Expressway,Y,1,19,53.4,52.1,46.5,Clouds,1,5
Pan Island Expressway,Y,5,13,80.0,82.3,78.7,Clear,0,8
Upper Thomson Road,B,5,9,44.2,45.3,42.9,Haze,0,4
Bukit Timah Expressway,Y,6,11,65.6,60.8,58.8,Drizzle,0,6
Clementi Avenue 3,C,0,12,35.9,32.5,38.5,Clouds,0,4
Seletar Expressway,Y,3,16,69.7,72.4,70.8,Haze,0,7
Orchard Road,B,3,3,19.5,21.5,10.9,Thunderstorm,0,2
Tampines Expressway,Y,1,20,49.1,48.0,44.9,Mist,1,6
Ayer Rajah Expressway,Y,5,12,63.7,64.9,64.1,Mist,0,6
Orchard Road,B,6,4,34.2,38.0,34.0,Drizzle,0,5
Bedok North Avenue 3,C,0,2,16.4,12.0,24.5,Thunderstorm,0,2
Seletar Expressway,Y,4,15,77.0,76.8,70.6,Clear,0,8
Pan Island Expressway,Y,1,11,41.0,45.4,39.5,Thunderstorm,0,4
East Coast Parkway,Y,2,0,78.5,78.7,83.1,Clear,0,8
Ayer Rajah Expressway,Y,4,19,51.5,48.2,64.0,Haze,1,5
Central Expressway,Y,2,8,14.9,13.2,16.6,Thunderstorm,1,2
Tampines Expressway,Y,4,11,73.2,75.1,73.1,Mist,0,7
Central Expressway,Y,5,23,74.1,77.7,65.6,Clear,0,8
East Coast Parkway,Y,4,12,58.2,50.6,59.1,Rain,0,6
Central Expressway,Y,5,9,59.1,56.0,51.8,Mist,0,6
Nicoll Highway,B,0,6,48.8,51.0,51.3,Haze,0,5
Tampines Avenue 10,B,5,10,41.2,43.6,41.0,Haze,0,5
Woodlands Avenue 12,B,6,15,41.2,45.0,43.2,Clear,0,5
Seletar Expressway,Y,6,11,75.8,77.0,73.9,Clouds,0,8
Ayer Rajah Expressway,Y,1,8,21.4,22.3,23.9,Thunderstorm,1,2
Upper Thomson Road,B,6,4,47.4,49.0,49.2,Haze,0,6
Kallang Paya Lebar Expressway,Y,4,22,61.3,59.0,66.8,Drizzle,0,7
Seletar Expressway,Y,4,14,68.2,69.9,69.5,Haze,0,7
Orchard Road,B,3,12,41.9,38.3,40.1,Clouds,0,5
Bedok North Avenue 3,C,5,21,31.8,30.1,43.3,Mist,0,4
Tampines Avenue 10,B,6,10,27.0,29.4,27.8,Thunderstorm,0,4
Central Expressway,Y,1,16,64.9,68.9,68.6,Haze,0,7
Pan Island Expressway,Y,4,12,73.5,75.5,61.7,Clouds,0,8
Orchard Road,B,0,10,29.1,23.7,34.6,Rain,0,4
Ayer Rajah Expressway,Y,6,10,49.4,49.8,52.7,Rain,0,6
Bukit Timah Expressway,Y,1,8,16.3,18.6,21.9,Thunderstorm,1,2
Pan Island Expressway,Y,3,3,67.8,66.5,68.0,Haze,0,7
Orchard Road,B,3,0,22.9,21.4,23.1,Thunderstorm,0,3
Orchard Road,B,3,11,37.6,41.0,37.0,Haze,0,4
Tampines Avenue 10,B,3,15,36.0,33.9,32.2,Drizzle,0,4
Pan Island Expressway,Y,4,12,71.8,71.3,63.1,Mist,0,8
Bukit Timah Expressway,Y,5,19,70.8,68.7,78.5,Clear,0,7
Tampines Expressway,Y,1,13,66.8,68.5,73.6,Drizzle,0,8
Bukit Timah Expressway,Y,3,1,35.7,41.0,41.0,Thunderstorm,0,4
Tampines Avenue 10,B,2,6,21.4,21.6,12.8,Thunderstorm,0,2
Nicoll Highway,B,6,7,54.3,54.7,55.5,Clouds,0,5
Ayer Rajah Expressway,Y,6,10,67.6,63.3,67.1,Haze,0,8
East Coast Parkway,Y,6,21,56.0,61.6,58.9,Rain,0,6
Bedok North Avenue 3,C,6,10,31.3,27.8,32.6,Mist,0,3
Tampines Expressway,Y,2,17,44.1,43.3,43.7,Mist,1,5
Tampines Avenue 10,B,5,2,44.6,42.1,43.4,Haze,0,5
Nicoll Highway,B,4,2,42.0,37.6,37.1,Mist,0,5
Upper Thomson Road,B,2,9,33.4,30.7,42.0,Haze,1,4
Kallang Paya Lebar Expressway,Y,5,3,41.6,43.2,39.5,Thunderstorm,0,5
Clementi Avenue 3,C,3,21,33.5,34.3,32.4,Drizzle,0,4
Woodlands Avenue 12,B,2,23,38.6,37.8,41.4,Mist,0,4
Nicoll Highway,B,1,4,43.8,48.9,40.0,Mist,0,5
Orchard Road,B,2,17,15.2,13.5,17.2,Rain,1,2
Ayer Rajah Expressway,Y,5,18,72.7,72.6,74.1,Haze,0,8
Nicoll Highway,B,2,4,35.5,33.7,32.0,Rain,0,4
Nicoll Highway,B,0,14,43.8,36.7,45.6,Haze,0,4
Tampines Expressway,Y,5,0,49.2,50.6,48.0,Thunderstorm,0,6
Bukit Timah Expressway,Y,6,17,65.1,60.8,64.9,Mist,0,7
Pan Island Expressway,Y,4,3,71.5,71.3,69.0,Clouds,0,8
Kallang Paya Lebar Expressway,Y,6,2,63.2,63.5,65.3,Haze,0,7
Ayer Rajah Expressway,Y,4,11,65.7,66.5,71.0,Drizzle,0,8
Tampines Avenue 10,B,0,19,31.7,32.7,39.8,Clear,1,4
Seletar Expressway,Y,4,23,70.4,69.4,71.7,Clouds,0,7
Woodlands Avenue 12,B,4,19,21.3,20.3,16.8,Mist,1,3
Bukit Timah Expressway,Y,6,11,63.1,65.7,65.4,Drizzle,0,7
Woodlands Avenue 12,B,0,20,26.7,22.5,32.8,Clear,1,3
East Coast Parkway,Y,0,20,5.0,2.0,4.8,Thunderstorm,1,1
Kallang Paya Lebar Expressway,Y,6,12,33.5,32.7,36.0,Thunderstorm,0,4
Ayer Rajah Expressway,Y,4,23,72.7,77.5,64.3,Clear,0,8
Ayer Rajah Expressway,Y,5,7,67.3,65.1,65.4,Haze,0,7
Nicoll Highway,B,5,6,54.1,57.1,49.5,Clear,0,5
Central Expressway,Y,0,1,55.3,60.5,61.5,Rain,0,7
Nicoll Highway,B,4,1,52.1,52.3,58.2,Haze,0,5
Kallang Paya Lebar Expressway,Y,1,14,67.0,70.2,61.5,Haze,0,7
Orchard Road,B,5,5,38.2,43.7,41.9,Clear,0,4
Nicoll Highway,B,5,8,41.9,43.0,32.2,Drizzle,0,5
Pan Island Expressway,Y,5,1,69.2,70.3,75.8,Mist,0,7
Seletar Expressway,Y,1,12,38.2,40.1,33.8,Thunderstorm,0,3
Bedok North Avenue 3,C,0,21,28.6,29.4,24.2,Drizzle,0,3
East Coast Parkway,Y,2,1,72.4,69.8,73.1,Haze,0,8
Orchard Road,B,2,12,45.0,49.9,43.9,Clouds,0,5
Kallang Paya Lebar Expressway,Y,3,6,68.7,70.9,64.3,Clouds,0,7
Seletar Expressway,Y,2,21,70.9,74.2,63.9,Clouds,0,8
Bukit Timah Expressway,Y,0,0,66.2,66.9,72.0,Drizzle,0,7
Clementi Avenue 3,C,1,3,40.0,45.7,32.5,Clear,0,4
Ayer Rajah Expressway,Y,5,11,41.6,44.3,37.0,Thunderstorm,0,4
East Coast Parkway,Y,1,13,77.5,78.8,79.8,Clear,0,8
Ayer Rajah Expressway,Y,3,10,47.7,45.9,54.2,Rain,0,4
Orchard Road,B,1,1,43.7,42.1,48.5,Clear,0,4
Upper Thomson Road,B,1,8,9.3,10.5,8.9,Thunderstorm,1,2
Pan Island Expressway,Y,2,9,28.8,29.5,27.9,Rain,1,4
Central Expressway,Y,6,21,69.4,66.3,77.6,Haze,0,8
Tampines Avenue 10,B,6,21,48.0,51.4,47.7,Clouds,0,5
Woodlands Avenue 12,B,1,17,22.3,21.6,25.7,Clear,1,3
Nicoll Highway,B,1,3,55.0,50.4,56.5,Clear,0,6
Ayer Rajah Expressway,Y,2,15,67.9,67.9,77.7,Haze,0,7
Central Expressway,Y,6,6,71.0,71.0,72.6,Clear,0,8
Seletar Expressway,Y,1,3,58.6,59.9,71.6,Rain,0,6
Bukit Timah Expressway,Y,1,0,65.8,65.0,68.1,Haze,0,7
Bedok North Avenue 3,C,4,6,16.7,20.0,12.2,Thunderstorm,0,2
Nicoll Highway,B,0,19,29.9,33.7,26.7,Haze,1,3
Nicoll Highway,B,0,1,48.3,52.2,50.9,Clouds,0,6
Upper Thomson Road,B,5,0,35.6,39.2,31.0,Rain,0,5
East Coast Parkway,Y,2,18,41.9,38.1,51.1,Mist,1,4
Upper Thomson Road,B,6,17,45.6,48.7,45.0,Haze,0,5
Pan Island Expressway,Y,1,18,61.1,61.4,66.1,Clear,1,7
Kallang Paya Lebar Expressway,Y,0,22,66.6,67.7,65.1,Haze,0,7
Nicoll Highway,B,4,7,33.4,37.2,35.6,Clouds,1,4
Woodlands Avenue 12,B,5,5,41.9,39.6,30.0,Clear,0,5
Tampines Expressway,Y,1,8,27.4,24.9,26.6,Rain,1,3
Nicoll Highway,B,3,13,43.9,43.9,42.1,Mist,0,5
Tampines Avenue 10,B,6,13,25.5,27.1,23.2,Thunderstorm,0,3
Ayer Rajah Expressway,Y,4,14,39.5,31.2,35.6,Thunderstorm,0,5
Orchard Road,B,6,1,35.9,37.1,37.1,Drizzle,0,4
Bedok North Avenue 3,C,4,17,12.1,13.0,13.1,Rain,1,2
Tampines Expressway,Y,2,18,51.9,49.5,44.7,Haze,1,6
Upper Thomson Road,B,5,15,40.3,43.9,36.9,Drizzle,0,4
Kallang Paya Lebar Expressway,Y,4,8,11.0,11.1,9.1,Thunderstorm,1,2
Upper Thomson Road,B,4,20,21.7,20.4,29.0,Rain,1,3
Pan Island Expressway,Y,1,4,65.8,70.4,63.3,Mist,0,7
Central Expressway,Y,6,22,62.3,60.2,59.4,Mist,0,6
Ayer Rajah Expressway,Y,2,9,52.7,54.5,56.3,Clouds,1,6
Seletar Expressway,Y,4,0,62.8,62.9,52.9,Haze,0,7
Kallang Paya Lebar Expressway,Y,5,5,60.1,63.3,53.5,Drizzle,0,7
Tampines Avenue 10,B,5,14,41.5,48.1,38.9,Mist,0,5
Pan Island Expressway,Y,6,9,63.6,66.8,61.2,Haze,0,7
Central Expressway,Y,3,17,45.0,44.0,50.8,Clouds,1,5
Nicoll Highway,B,0,3,45.2,43.4,37.9,Haze,0,4
Bukit Timah Expressway,Y,0,20,33.0,32.0,28.9,Rain,1,4
Seletar Expressway,Y,2,8,17.8,18.8,21.8,Thunderstorm,1,1
Tampines Avenue 10,B,2,19,33.7,34.6,32.4,Clouds,1,3
East Coast Parkway,Y,5,13,64.9,70.0,69.6,Mist,0,7
Seletar Expressway,Y,0,20,43.4,43.1,42.4,Haze,1,5
Kallang Paya Lebar Expressway,Y,6,7,55.2,54.3,49.5,Rain,0,7
Ayer Rajah Expressway,Y,3,17,46.4,49.8,54.7,Clouds,1,6
Orchard Road,B,4,17,33.3,30.9,32.0,Clear,1,4
Kallang Paya Lebar Expressway,Y,3,11,42.9,38.6,45.6,Thunderstorm,0,4
Tampines Avenue 10,B,1,12,21.7,20.9,16.3,Thunderstorm,0,3
Kallang Paya Lebar Expressway,Y,3,5,67.0,66.4,72.9,Clouds,0,8
Tampines Avenue 10,B,4,22,37.3,36.1,36.3,Rain,0,5
Seletar Expressway,Y,4,0,67.5,72.7,71.3,Clouds,0,7
Ayer Rajah Expressway,Y,6,11,68.0,65.1,79.4,Haze,0,7
Nicoll Highway,B,6,8,48.5,49.7,49.2,Clouds,0,5
Tampines Expressway,Y,1,23,70.4,67.5,71.8,Clouds,0,8
Seletar Expressway,Y,3,23,73.8,73.2,70.2,Haze,0,8
Upper Thomson Road,B,3,21,48.2,50.4,49.9,Clouds,0,5
Tampines Expressway,Y,6,8,48.1,46.9,54.5,Rain,0,5
Woodlands Avenue 12,B,0,0,42.5,43.9,41.8,Clouds,0,4
Ayer Rajah Expressway,Y,4,13,65.8,68.3,63.9,Drizzle,0,8
Bedok North Avenue 3,C,0,6,26.7,24.9,30.4,Mist,0,3
